Ticket;Open;Type;Volume;Symbol;Price;SL;TP;Close;Price;Swap;Commissions;Profit;Pips;"Trade duration in seconds"
65252203;"2025-06-05 16:03:29";buy;7.05;GBPNZD;2.24148;2.23801;2.25801;"2025-06-06 17:57:27";2.24899;2.26;-21.16;3182.87;75.1;93238
65654081;"2025-06-05 17:00:07";buy;3.50;GBPNZD;2.24258;2.23803;2.25707;"2025-06-06 17:57:15";2.24902;1.12;-10.5;1355.01;64.4;89828
65555260;"2025-06-05 22:21:46";buy;4.74;US30.cash;42208.49;42039.44;42858.15;"2025-06-06 16:40:12";42858.71;-35.66;0;3082.04;650.22;65906
65514904;"2025-06-04 21:02:06";buy;3.50;USDJPY;142.793;142.793;144.03;"2025-06-05 15:31:23";142.792;0.29;-10.5;-2.45;-0.1;66557
65362981;"2025-06-04 11:41:23";sell;5.00;GBPUSD;1.35452;1.35655;1.34839;"2025-06-04 17:08:04";1.35657;0;-15;-1025;-20.5;19601
65259862;"2025-06-03 15:42:43";buy;7.91;GER40.cash;23973.85;23865.19;24362.47;"2025-06-04 11:45:39";24307.56;-22.91;0;3009.76;333.71;72176
65240523;"2025-06-03 13:52:36";buy;5.00;USDJPY;143.007;142.59;143.895;"2025-06-03 17:05:53";143.802;0;-15;2764.22;79.5;11597
64992642;"2025-06-02 02:35:31";buy;16.20;GER40.cash;23988.75;23868.96;24377.37;"2025-06-02 09:14:44";23868.76;0;0;-2212.65;-119.99;23953
