Ticket;Open;Type;Volume;Symbol;Price;SL;TP;Close;Price;Swap;Commissions;Profit;Pips;"Trade duration in seconds"
65886373;"2025-06-13 03:38:14";buy;2.00;GBPJPY;193.928;193.606;195.984;"2025-06-13 18:04:23";195.7;0;-6;2458.69;177.2;51969
65886671;"2025-06-13 03:32:47";buy;5.00;US30.cash;42404.69;42184.15;42988.71;"2025-06-13 05:43:07";42185.91;0;0;-1093.9;-218.78;7820
66429578;"2025-06-12 15:36:03";buy;3.60;USDJPY;143.267;142.879;144.442;"2025-06-13 03:04:55";142.874;0.1;-10.8;-990.24;-39.3;41332
66554867;"2025-06-12 19:15:03";buy;4.00;GER40.cash;23782.65;23609.4;0;"2025-06-13 03:00:22";23605.76;-11.81;0;-821.27;-176.89;27919
66538585;"2025-06-12 17:33:06";buy;2.50;USDJPY;143.656;143.171;144.413;"2025-06-13 02:57:48";143.168;0.07;-7.5;-852.15;-48.8;33882
65886584;"2025-06-11 06:00:05";buy;5.80;GER40.cash;23866.95;23792.36;24359.5;"2025-06-12 03:52:05";23791.36;-16.97;0;-505.2;-75.59;78720
65950980;"2025-06-11 15:30:02";sell;1.20;EURUSD;1.14606;1.15005;1.13198;"2025-06-12 01:57:05";1.15006;10.76;-3.6;-480;-40;37623
